cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"New Hampshire",10/20/2016,10/24/2016,"Marist College","A",768,"lv",2.490402,45,36,10,,43.35259,36.9775,8.450859,,"","http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361",47539,74346,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"North Carolina",10/20/2016,10/23/2016,"Siena College","A",792,"lv",2.489481,46,39,8,,45.83156,40.82581,6.463696,,"","http://files.constantcontact.com/9c83fb30501/a28d624b-bd7e-46a7-a024-573e184bd3bb.pdf",47325,74046,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Iowa",10/20/2016,10/26/2016,"Quinnipiac University","A-",791,"lv",2.458573,44,44,4,,44.30809,43.45149,3.327453,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47618,74522,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"New Mexico",10/24/2016,10/24/2016,"Zia Poll","",1899,"lv",2.452991,45,40,9,,43.97847,38.64888,10.21804,,"","http://projects.fivethirtyeight.com/polls/20161027_NM.pdf",47612,74511,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/17/2016,10/18/2016,"Quinnipiac University","A-",1007,"lv",2.379798,47,40,7,,47.45981,39.92661,5.745434,,"","https://www.qu.edu/images/polling/us/us10192016_U29frgv.pdf",47078,73671,10/19/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Texas",10/21/2016,10/22/2016,"YouGov","B",1031,"lv",2.366404,43,46,5,,42.83355,45.68953,6.302698,,"","https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/",47237,73920,10/23/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/25/2016,10/27/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.347385,45,45,3,,45.57628,44.77092,3.298661,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_oct28",47636,74556,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/24/2016,"Suffolk University","B+",1000,"lv",2.334264,47.4,37.6,3.9,,47.25706,38.23101,4.763909,,"","https://www.suffolk.edu/documents/SUPRC/10_26_2016_marginals.pdf",47530,74325,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/20/2016,10/25/2016,"University of North Florida","B+",819,"lv",2.32677,43,39,6,,44.26508,41.09885,5.011132,,"","http://www.firstcoastnews.com/news/unf-poll-shows-clinton-holds-a-slight-lead-over-trump-in-florida/343029691",47549,74383,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Georgia",10/17/2016,10/20/2016,"Time/Abt SRBI","A-",839,"lv",2.32606,42,44,9,,41.93909,45.45295,6.942413,,"","http://politics.blog.ajc.com/2016/10/21/ajc-poll-trump-and-clinton-deadlocked-georgia/",47158,73792,10/21/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Nevada",10/20/2016,10/24/2016,"Marist College","A",707,"lv",2.319283,43,43,10,,41.35377,43.85958,8.450859,,"","http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361",47540,74347,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Virginia",10/20/2016,10/26/2016,"Quinnipiac University","A-",749,"lv",2.292814,50,38,4,,50.30991,37.40472,3.327453,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47620,74524,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/21/2016,"Public Policy Polling","B+",990,"lv",2.289632,46,40,5,,45.33441,40.04356,5.553975,,"","http://www.socialsecurityworks.org/wp-content/uploads/2016/10/NationalResults.pdf",47527,74321,10/26/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/21/2016,10/22/2016,"YouGov","B",1042,"lv",2.276466,46,43,3,,45.83342,42.70274,4.302698,,"","https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/",47236,73919,10/23/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/21/2016,10/24/2016,"NBC News/Wall Street Journal","A-",724,"lv",2.268673,43,34,7,,42.55658,35.38982,5.827572,,"","http://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2016/10/27/survey.pdf",47550,74505,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Georgia",10/20/2016,10/26/2016,"Quinnipiac University","A-",707,"lv",2.25512,43,44,8,,43.31149,43.36431,7.327453,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47617,74521,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Wisconsin",10/20/2016,10/22/2016,"Remington","",1795,"lv",2.253464,46,41,5,,45.78893,39.67224,5.387742,,"","http://big.assets.huffingtonpost.com/WISTATEWIDE.pdf",47336,74071,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/25/2016,10/26/2016,"Public Policy Polling","B+",742,"lv",2.235603,48,44,,,47.07067,43.04122,,,"","http://www.politico.com/states/f/?id=00000158-0ab5-d236-ad5d-dab74e5e0001",47637,74560,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/23/2016,"CNN/Opinion Research Corp.","A-",779,"lv",2.230256,49,44,3,,48.00448,42.26768,2.162824,,"","http://i2.cdn.turner.com/cnn/2016/images/10/24/cnn.poll.pdf",47314,74018,10/24/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Idaho",10/21/2016,10/23/2016,"Emerson College","B",1023,"lv",2.200196,23,52,,,20.25615,48.22388,,,"","http://media.wix.com/ugd/3bebb2_06bcdf8a3e564f1ea6549d31229f4d73.pdf",47339,74075,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/20/2016,10/26/2016,"CVOTER International","C+",1363,"lv",2.198363,48.84,46.95,,,46.28629,42.94983,,,"","http://www.upi.com/Top_News/US/2016/10/28/UPICVoter-poll-Clintons-lead-slips-below-2-percent/5601477668222/",47641,74572,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Pennsylvania",10/20/2016,10/22/2016,"Remington","",1997,"lv",2.190934,45,42,5,,44.78746,40.61116,5.387742,,"","http://big.assets.huffingtonpost.com/PASTATEWIDE.pdf",47332,74066,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"North Carolina",10/21/2016,10/22/2016,"Public Policy Polling","B+",875,"lv",2.186362,47,44,4,,46.31033,43.87931,4.677037,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_102416.pdf",47248,73936,10/24/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Ohio",10/20/2016,10/22/2016,"Remington","",1971,"lv",2.182321,42,46,4,,41.78818,44.64122,4.387742,,"","http://big.assets.huffingtonpost.com/OHSTATEWIDE.pdf",47330,74064,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Colorado",10/20/2016,10/22/2016,"Remington","",1581,"lv",2.15935,45,43,5,,44.7893,41.68784,5.387742,,"","http://big.assets.huffingtonpost.com/COSTATEWIDE.pdf",47335,74069,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Vermont",10/24/2016,10/26/2016,"Political Marketing International, Inc./Red Racing Horses","B-",1052,"lv",2.1592,52,26,5,,51.01345,25.42313,5.266903,,"","http://rrhelections.com/index.php/2016/10/28/rrh-elections-vermont-poll-phil-scott-r-leads-sue-minter-d-45-38-for-governor/",47640,74563,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Virginia",10/20/2016,10/22/2016,"Remington","",1787,"lv",2.151062,48,43,3,,47.7876,41.617,3.387742,,"","http://big.assets.huffingtonpost.com/VASTATEWIDE.pdf",47331,74065,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"North Carolina",10/20/2016,10/26/2016,"Quinnipiac University","A-",702,"lv",2.148368,47,43,5,,47.31069,42.3847,4.327453,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47619,74523,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"North Carolina",10/20/2016,10/22/2016,"Remington","",1764,"lv",2.107648,44,47,3,,43.78687,45.58678,3.387742,,"","http://big.assets.huffingtonpost.com/NCSTATEWIDE.pdf",47333,74067,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/20/2016,10/22/2016,"Remington","",1646,"lv",2.059543,46,46,2,,45.78805,44.63566,2.387742,,"","http://big.assets.huffingtonpost.com/FLSTATEWIDE.pdf",47334,74068,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Illinois",10/16/2016,10/18/2016,"Victory Research","",1200,"lv",2.057271,51.2,36.1,5.6,,50.5331,35.55768,4.6457,,"","http://big.assets.huffingtonpost.com/Victory.Research.Illinois.10.18.16.pdf",47315,74028,10/24/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Virginia",10/23/2016,10/26/2016,"Christopher Newport University","B-",814,"lv",2.035306,46,39,5,,47.17687,41.03404,3.397282,,"","http://cnu.edu/cpp/pdf/oct%2028%202016%20report-final.pdf",47634,74552,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/17/2016,10/23/2016,"SurveyMonkey","C-",32225,"lv",2.033887,46,41,7,,45.07973,40.22447,3.891528,,"","https://www.scribd.com/document/328753246/NBC-News-SurveyMonkey-Toplines-and-Methodology-1017-1023?secret_password=sIipyJjqvaCenavKCCzX",47324,74045,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/14/2016,10/16/2016,"Monmouth University","A+",726,"lv",2.030745,50,38,5,,49.01177,38.57964,4.429672,,"","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_101716/",46886,73362,10/17/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/21/2016,10/24/2016,"Greenberg Quinlan Rosner (Democracy Corps)","B-",900,"lv",2.027149,50,38,5,,48.80971,38.8289,3.456171,,"","http://www.democracycorps.com/attachments/article/1051/Dcor_Oct%20National_FQ_10.24.2016_ealert.pdf",47355,74118,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Missouri",10/24/2016,10/26/2016,"Mason-Dixon Polling & Research, Inc.","B+",625,"lv",2.005996,42,47,3,,40.70805,46.6556,3.267608,,"","http://www.stltoday.com/news/local/govt-and-politics/trump-leads-clinton-blunt-kander-a-virtual-tie-in-missouri/article_a4a48a47-485f-5e9a-b6f6-1dba7c7deb48.html",47629,74545,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Wisconsin",10/18/2016,10/19/2016,"Public Policy Polling","B+",804,"lv",1.996729,50,38,,,47.91563,36.77265,,,"","http://endcitizensunited.org/wp-content/uploads/2016/10/ECU-WI-poll-Oct19.pdf",47087,73699,10/19/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/11/2016,10/14/2016,"SurveyUSA","A",845,"lv",1.968903,46,36,5,,44.97762,35.83161,4.409305,,"","http://www.surveyusa.com/client/PollReport.aspx?g=43152229-1c55-4feb-8b4d-50aeb48c36b1",47062,73638,10/19/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"California",10/13/2016,10/15/2016,"SurveyUSA","A",725,"lv",1.936621,56,30,4,,54.92103,29.84111,3.480773,,"","http://www.ocregister.com/articles/percent-732384-poll-california.html",46947,73434,10/17/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/22/2016,10/26/2016,"Saint Leo University","C+",1050,"lv",1.910706,46.05,34.95,7.6,,44.54253,37.82001,6.521454,,"*","http://polls.saintleo.edu/clinton-lead-growing-in-florida-and-across-the-u-s-in-new-saint-leo-poll-and-most-expect-her-to-win-the-presidency/",47638,74561,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Nevada",10/20/2016,10/22/2016,"Remington","",1332,"lv",1.906222,44,47,4,,43.78825,45.6441,4.387742,,"","http://big.assets.huffingtonpost.com/NVSTATEWIDE.pdf",47337,74072,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/22/2016,10/26/2016,"Saint Leo University","C+",1028,"lv",1.892529,50.4,36.95,4.95,,48.89252,39.81718,3.871454,,"*","http://polls.saintleo.edu/clinton-lead-growing-in-florida-and-across-the-u-s-in-new-saint-leo-poll-and-most-expect-her-to-win-the-presidency/",47639,74562,10/28/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Montana",10/10/2016,10/12/2016,"Mason-Dixon Polling & Research, Inc.","B+",1003,"lv",1.887359,36,46,11,,35.27655,46.8915,9.772622,,"","http://missoulian.com/news/government-and-politics/trump-leads-in-montana-but-voters-aren-t-that-fond/article_09de91e3-c013-5e70-b82e-252fff748260.html",46870,73327,10/16/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Georgia",10/18/2016,10/26/2016,"SurveyMonkey","C-",2567,"lv",1.886629,44,46,7,,43.03089,44.94187,4.13015,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus",47566,74456,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"California",10/18/2016,10/26/2016,"SurveyMonkey","C-",2358,"lv",1.88207,54,31,7,,53.03007,30.0237,4.13015,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus",47560,74450,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/19/2016,10/20/2016,"Morning Consult","",1395,"lv",1.876533,42,36,9,,43.3306,38.2299,7.139973,,"","http://www.politico.com/f/?id=00000157-e699-dd9d-ad7f-efdf0ec20001",47159,73796,10/21/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Michigan",10/22/2016,10/24/2016,"EPIC-MRA","A-",600,"lv",1.872837,41,34,9,,41.85641,35.55761,7.757293,,"","http://wlns.com/2016/10/27/poll-clinton-holds-healthy-lead-over-trump-in-michigan/",47548,74381,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/18/2016,10/26/2016,"SurveyMonkey","C-",3193,"lv",1.871841,47,44,5,,46.03022,43.00922,2.13015,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus",47565,74455,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Texas",10/18/2016,10/26/2016,"SurveyMonkey","C-",2441,"lv",1.868753,40,47,8,,39.03035,45.99601,5.13015,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus",47599,74489,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Florida",10/19/2016,10/19/2016,"Associated Industries of Florida","",1000,"lv",1.862962,44,41,4,,44.1526,43.44326,3.041691,,"","http://static.politico.com/8a/b1/6632d7e147899c4489dd14a84e17/161024-states-statewidetrack.pdf",47462,74247,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"South Carolina",10/18/2016,10/26/2016,"SurveyMonkey","C-",2223,"lv",1.859656,43,45,7,,42.03086,43.94416,4.13015,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus",47596,74486,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Virginia",10/18/2016,10/26/2016,"SurveyMonkey","C-",2739,"lv",1.853624,48,39,9,,47.03037,37.99344,6.13015,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus",47602,74492,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/9/2016,10/13/2016,"RKM Research and Communications, Inc.","B+",1101,"lv",1.8486,46,41,6,,46.48385,40.897,4.902291,,"","http://www.bostonherald.com/sites/default/files/media/2016/10/16/FPU-BH-Memo-101616.pdf",46871,73328,10/16/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Minnesota",10/20/2016,10/22/2016,"Mason-Dixon Polling & Research, Inc.","B+",625,"lv",1.840349,47,39,6,,45.71529,39.37863,5.627034,,"","http://www.startribune.com/in-minnesota-poll-clinton-widens-lead-over-trump/398272671/",47319,74037,10/24/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"South Dakota",10/19/2016,10/21/2016,"Remington","",1115,"lv",1.826135,37,48,6,,36.81539,46.77718,6.272182,,"","http://www.ksfy.com/content/news/Poll-Trump-Thune-hold-double-digit-leads-in-South-Dakota-398112241.html",47346,74087,10/25/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"U.S.",10/12/2016,10/18/2016,"Princeton Survey Research Associates International","B+",1029,"rv",1.820868,49,38,,,48.48108,39.7322,,,"","http://files.kff.org/attachment/Kaiser-Health-Tracking-Poll-October-2016",47611,74510,10/27/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Nevada",10/20/2016,10/23/2016,"Bendixen & Amandi International","",800,"lv",1.813517,48,41,6,,46.93102,41.54206,5.715554,,"","http://www.reviewjournal.com/politics/election-2016/rj-poll-shows-clinton-pulling-away-trump-nevada?test",47318,74036,10/24/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Washington",10/20/2016,10/22/2016,"Elway Research","A+",502,"lv",1.809893,48,31,1,,48.21281,33.47914,1.959669,,"","https://www.documentcloud.org/documents/3173866-Elway-Poll-102416.html",47316,74029,10/24/16,"14:56:09 28 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/28/16,"Pennsylvania",10/7/2016,10/11/2016,"Selzer & Company","A+",806,"lv",1.802073,48,39,6,,48.76698,39.50209,4.245334,,"","http://www.bloomberg.com/politics/articles/2016-10-13/pennsylvania-poll",46776,73148,10/13/16,"14:56:09 28 Oct 2016"
