City,State,Country,Estimate (low),Estimate (high),Average,city_state_country,lat,lon
Wellfleet,MA,US,113,113,113.0,"Wellfleet, MA, US",41.93054679999999,-70.03097530000001
Wenatchee,WA,US,1700,1700,1700.0,"Wenatchee, WA, US",47.4234599,-120.3103494
West Chester,PA,US,150,200,175.0,"West Chester, PA, US",39.9606643,-75.6054882
West Jefferson,NC,US,250,300,275.0,"West Jefferson, NC, US",36.4037364,-81.4928829
West Lima,WI,US,1,1,1.0,"West Lima, WI, US",43.5463637,-90.5304075
West Palm Beach,FL,US,5000,7000,6e3,"West Palm Beach, FL, US",26.7153424,-80.0533746
Westfield,NJ,US,1000,1000,1e3,"Westfield, NJ, US",40.6589912,-74.3473717
Wichita,KS,US,3000,3000,3e3,"Wichita, KS, US",37.68717609999999,-97.33005299999999
Wichita Falls,TX,US,150,150,150.0,"Wichita Falls, TX, US",33.9137085,-98.4933873
Williamsburg,VA,US,700,1000,850.0,"Williamsburg, VA, US",37.2707022,-76.7074571
Willits,CA,US,50,50,50.0,"Willits, CA, US",39.4096079,-123.3555656
Wilmington,NC,US,3000,3000,3e3,"Wilmington, NC, US",34.2257255,-77.9447102
Wilton,NH,US,NA,NA,NA,"Wilton, NH, US",42.8433943,-71.7351077
Winchester,VA,US,NA,NA,NA,"Winchester, VA, US",39.1856597,-78.1633341
Winston-Salem,NC,US,1000,1000,1e3,"Winston-Salem, NC, US",36.09985959999999,-80.244216
Woodstock,NY,US,400,400,400.0,"Woodstock, NY, US",42.0409247,-74.1181971
Woodstock,VA,US,600,1000,800.0,"Woodstock, VA, US",38.8817784,-78.50584289999999
Wooster,OH,US,NA,NA,NA,"Wooster, OH, US",40.8050565,-81.935143
Worcester,MA,US,300,500,400.0,"Worcester, MA, US",42.2625932,-71.8022934
Wyckoff,NJ,US,1000,1000,1e3,"Wyckoff, NJ, US",41.0095316,-74.1729106
Yakima,WA,US,1200,1200,1200.0,"Yakima, WA, US",46.6020711,-120.5058987
Ypsilanti,MI,US,NA,NA,NA,"Ypsilanti, MI, US",42.2411499,-83.61299389999999
Yuma,AZ,US,35,35,35.0,"Yuma, AZ, US",32.6926512,-114.6276916
Zebulon,GA,US,NA,NA,NA,"Zebulon, GA, US",33.1023454,-84.3426997
Seoul,South Korea,US,1000,1000,1e3,"Seoul, South Korea, US",37.5731453,126.9778493
Calgary,Canada,US,4000,4000,4e3,"Calgary, Canada, US",51.0466321,-114.0584596
Isle of Eigg,,,21,30,25.5,"Isle of Eigg, , ",56.8936761,-6.1533074
London,,UK,100000,100000,1e5,"London, , UK",51.5073509,-0.1277583
Mexico City,,Mexico,100,500,300.0,"Mexico City, , Mexico",19.4326077,-99.133208
Ottawa,,Canada,6000,8000,7e3,"Ottawa, , Canada",45.4215296,-75.69719309999999
Tel Aviv,,Israel,200,500,350.0,"Tel Aviv, , Israel",32.0852999,34.78176759999999
Toronto,,Canada,60000,60000,6e4,"Toronto, , Canada",43.653226,-79.3831843
Sydney,,Australia,5000,10000,7500.0,"Sydney, , Australia",-33.8688197,151.2092955
Melbourne,,Australia,10000,10000,1e4,"Melbourne, , Australia",-37.8136276,144.9630576
,,Antarctica,30,30,30.0,", , Antarctica",-82.86275189999999,135.0
Copenhagen,,Denmark,5000,5000,5e3,"Copenhagen, , Denmark",55.6760968,12.5683371
Victoria,,Canada,2500,2500,2500.0,"Victoria, , Canada",48.4284207,-123.3656444
Bogota,,Colombia,350,350,350.0,"Bogota, , Colombia",4.710988599999999,-74.072092
New Delhi,,India,NA,NA,NA,"New Delhi, , India",28.6139391,77.2090212
Nairobi,,Kenya,200,200,200.0,"Nairobi, , Kenya",-1.2920659,36.8219462
Cape Town,,South Africa,500,700,600.0,"Cape Town, , South Africa",-33.9248685,18.4240553
Dublin,,Ireland,2000,5000,3500.0,"Dublin, , Ireland",53.3498053,-6.2603097
Bangkok,,Thailand,NA,NA,NA,"Bangkok, , Thailand",13.7563309,100.5017651
Antigua,,Guatemala,250,250,250.0,"Antigua, , Guatemala",14.5585707,-90.729523
Rome,,Italy,300,300,300.0,"Rome, , Italy",41.9027835,12.4963655
Stratford,,Canada,100,100,100.0,"Stratford, , Canada",43.3700007,-80.98222860000001
Montreal,,Canada,5000,5000,5e3,"Montreal, , Canada",45.5016889,-73.567256
Pristina,,Kosovo,NA,NA,NA,"Pristina, , Kosovo",42.6629138,21.1655028
Vancouver,,Canada,15000,15000,15e3,"Vancouver, , Canada",49.2827291,-123.1207375
Canberra,,Australia,1000,1000,1e3,"Canberra, , Australia",-35.2809368,149.1300092
Paris,,France,2000,7000,4500.0,"Paris, , France",48.856614,2.3522219
Vienna,,Austria,2000,2000,2e3,"Vienna, , Austria",48.2081743,16.3738189
Stockholm,,Sweden,1000,4000,2500.0,"Stockholm, , Sweden",59.32932349999999,18.0685808
Oslo,,Norway,2000,3000,2500.0,"Oslo, , Norway",59.9138688,10.7522454
Tokyo,,Japan,648,648,648.0,"Tokyo, , Japan",35.6894875,139.6917064
Dar Es Salaam,,Tanzania,100,100,100.0,"Dar Es Salaam, , Tanzania",-6.792354,39.2083284
Auckland,,New Zealand,2000,2000,2e3,"Auckland, , New Zealand",-36.8484597,174.7633315
Wellington,,New Zealand,600,600,600.0,"Wellington, , New Zealand",-41.2864603,174.776236
Christchurch,,New Zealand,300,300,300.0,"Christchurch, , New Zealand",-43.5320544,172.6362254
Dunedin,,New Zealand,300,300,300.0,"Dunedin, , New Zealand",-45.8787605,170.5027976
Edmonton,,Canada,3500,4000,3750.0,"Edmonton, , Canada",53.544389,-113.4909267
Amsterdam,,Netherlands,4000,4000,4e3,"Amsterdam, , Netherlands",52.3702157,4.895167900000001
Athens,,Greece,NA,NA,NA,"Athens, , Greece",37.9838096,23.7275388
Barcelona,,Spain,NA,NA,NA,"Barcelona, , Spain",41.3850639,2.1734035
Madrid,,Spain,500,500,500.0,"Madrid, , Spain",40.4167754,-3.7037902
Florence,,Italy,NA,NA,NA,"Florence, , Italy",43.7695604,11.2558136
Marseilles,,France,NA,NA,NA,"Marseilles, , France",43.296482,5.36978
Prague,,Czech Republic,700,700,700.0,"Prague, , Czech Republic",50.0755381,14.4378005
Tblisi,,Georgia,300,300,300.0,"Tblisi, , Georgia",41.7151377,44.827096
Helsinki,,Finland,250,250,250.0,"Helsinki, , Finland",60.16985569999999,24.938379
Accra,,Ghana,NA,NA,NA,"Accra, , Ghana",5.6037168,-0.1869644
Erbil,,Iraq,8,8,8.0,"Erbil, , Iraq",36.2062933,44.0088697
Lisbon,,Portugal,NA,NA,NA,"Lisbon, , Portugal",38.7222524,-9.1393366
Geneva,,Switzerland,2500,2500,2500.0,"Geneva, , Switzerland",46.2043907,6.1431577
San Jose,,Costa Rica,NA,NA,NA,"San Jose, , Costa Rica",9.9280694,-84.0907246
Buenos Aires,,Argentina,200,200,200.0,"Buenos Aires, , Argentina",-34.6036844,-58.3815591
Brasilia,,Brazil,NA,NA,NA,"Brasilia, , Brazil",-15.7942287,-47.8821658
Edinburgh,,Scotland,3000,8000,5500.0,"Edinburgh, , Scotland",55.953252,-3.188267
Jos,,Nigeria,NA,NA,NA,"Jos, , Nigeria",9.896527299999999,8.8583309
Frankfurt,,Germany,2000,2000,2e3,"Frankfurt, , Germany",50.1109221,8.6821267
Bristol,,UK,1000,1000,1e3,"Bristol, , UK",51.454513,-2.58791
Wolfville,,Canada,300,300,300.0,"Wolfville, , Canada",45.0917598,-64.3598354
Salt Spring Island,,Canada,600,600,600.0,"Salt Spring Island, , Canada",48.8166622,-123.5088755
Budapest,,Hungary,400,400,400.0,"Budapest, , Hungary",47.497912,19.040235
Berlin,,Germany,200,1000,600.0,"Berlin, , Germany",52.52000659999999,13.404954
Galway,,Ireland,NA,NA,NA,"Galway, , Ireland",53.270668,-9.0567905
Bergen,,Norway,NA,NA,NA,"Bergen, , Norway",60.39126279999999,5.3220544
Halfiax,,Canada,1000,1000,1e3,"Halfiax, , Canada",44.64876350000001,-63.5752387
Hamburg,,Germany,700,700,700.0,"Hamburg, , Germany",53.5510846,9.9936818
Nosara,,Costa Rica,100,100,100.0,"Nosara, , Costa Rica",9.9797332,-85.64862509999999
Hamilton,,Canada,200,200,200.0,"Hamilton, , Canada",43.2557206,-79.8711024
Winnipeg,,Canada,1000,3000,2e3,"Winnipeg, , Canada",49.895136,-97.13837439999999
Liverpool,,UK,1000,1000,1e3,"Liverpool, , UK",53.4083714,-2.9915726
Charlottetown,,Canada,200,200,200.0,"Charlottetown, , Canada",46.23824,-63.13107040000001
Reykjavik,,Iceland,NA,NA,NA,"Reykjavik, , Iceland",64.12652059999999,-21.8174393
London,,Canada,500,1400,950.0,"London, , Canada",42.9849233,-81.2452768
San Miguel de Allende,,Mexico,2000,2000,2e3,"San Miguel de Allende, , Mexico",20.9144491,-100.745235
Rio de Janeiro,,Brazil,40,40,40.0,"Rio de Janeiro, , Brazil",-22.9068467,-43.1728965
Pender Island,,Canada,40,40,40.0,"Pender Island, , Canada",48.7866869,-123.2893996
Manutoulin Island,,Canada,1,1,1.0,"Manutoulin Island, , Canada",45.7026471,-82.0371761
Whitehorse,,Canada,200,200,200.0,"Whitehorse, , Canada",60.7211871,-135.0568449
Munich,,Germany,600,800,700.0,"Munich, , Germany",48.1351253,11.5819806
Hagatna,,Guam,150,150,150.0,"Hagatna, , Guam",13.4762824,144.7502228
The Hague,,The Netherlands,2000,2000,2e3,"The Hague, , The Netherlands",52.0704978,4.3006999
Singapore,,,50,50,50.0,"Singapore, , ",1.352083,103.819836
Bangor,Gwynedd,UK,400,400,400.0,"Bangor, , UK",53.22739,-4.129263
Mwanza,,Tanzania,19,19,19.0,"Mwanza, , Tanzania",-2.5164305,32.9174517
Nanaimo,,Canada,1000,1000,1e3,"Nanaimo, , Canada",49.1658836,-123.9400647
Kamloops,,Canada,NA,NA,NA,"Kamloops, , Canada",50.674522,-120.3272674
Saskatoon,,Canada,800,1000,900.0,"Saskatoon, , Canada",52.1332144,-106.6700458
North West River,,Canada,20,20,20.0,"North West River, , Canada",53.52551099999999,-60.14297
Whitehorse,,Canada,100,300,200.0,"Whitehorse, , Canada",60.7211871,-135.0568449
Yellowknife,,Canada,100,130,115.0,"Yellowknife, , Canada",62.4539717,-114.3717886
Osaka,,Japan,NA,NA,NA,"Osaka, , Japan",34.6937378,135.5021651
Hanoi,,Vietnam,27,27,27.0,"Hanoi, , Vietnam",21.0277644,105.8341598
Kassel,,Germany,100,100,100.0,"Kassel, , Germany",51.3127114,9.4797461
Aachen,,Germany,NA,NA,NA,"Aachen, , Germany",50.7753455,6.083886800000001
Bremerhaven,,Germany,30,30,30.0,"Bremerhaven, , Germany",53.5395845,8.5809424
Huntsville,,Canada,30,30,30.0,"Huntsville, , Canada",45.3269323,-79.2167539
Lilongwe,Central Region,Malawi,NA,NA,NA,"Lilongwe, , Malawi",-13.9626121,33.7741195
Stavanger,,Norway,NA,NA,NA,"Stavanger, , Norway",58.9699756,5.7331073
Isla Mujeres,,Mexico,5,5,5.0,"Isla Mujeres, , Mexico",21.2366946,-86.7357679
Cuenca,,Ecuador,20,50,35.0,"Cuenca, , Ecuador",-2.9001285,-79.00589649999999
Belfast,,UK,200,300,250.0,"Belfast, , UK",54.59728500000001,-5.93012
Castlebar,,Ireland,120,120,120.0,"Castlebar, , Ireland",53.8550014,-9.287925699999999
Montpelier,,France,500,3000,1750.0,"Montpelier, , France",43.610769,3.876716
Guelph,,Canada,545,545,545.0,"Guelph, , Canada",43.5448048,-80.24816659999999
Lusaka,,Zambia,140,140,140.0,"Lusaka, , Zambia",-15.3875259,28.3228165
Songdo,,South Korea,25,25,25.0,"Songdo, , South Korea",37.3839118,126.6438546
Shipley,,UK,1400,1400,1400.0,"Shipley, , UK",53.835927,-1.776978
Maadi Degla,,Egypt,4,4,4.0,"Maadi Degla, , Egypt",29.9550427,31.2735648
Trondheim,,Norway,260,260,260.0,"Trondheim, , Norway",63.4305149,10.3950528
Phnom Penh,,Cambodia,NA,NA,NA,"Phnom Penh, , Cambodia",11.5448729,104.8921668
Rabat,,Morocco,23,23,23.0,"Rabat, , Morocco",33.9715904,-6.8498129
